ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600000.SH,20230420,7.5,7.69,7.5,7.68,7.53,0.15,1.992,723406.61,550359.766
600000.SH,20230419,7.49,7.58,7.43,7.53,7.54,-0.01,-0.1326,522697.83,393443.029
600000.SH,20230418,7.38,7.59,7.37,7.54,7.39,0.15,2.0298,774123.35,582499.848
600000.SH,20230417,7.26,7.4,7.26,7.39,7.27,0.12,1.6506,360277.56,264817.275
600000.SH,20230414,7.28,7.31,7.25,7.27,7.25,0.02,0.2759,250746.04,182629.852
600000.SH,20230413,7.22,7.29,7.2,7.25,7.21,0.04,0.5548,257790.19,186717.624
600000.SH,20230412,7.2,7.23,7.17,7.21,7.18,0.03,0.4178,194756.94,140373.57
600000.SH,20230411,7.23,7.23,7.18,7.18,7.21,-0.03,-0.4161,201912.51,145358.007
600000.SH,20230410,7.21,7.24,7.19,7.21,7.23,-0.02,-0.2766,175483.07,126535.779
600000.SH,20230407,7.19,7.24,7.16,7.23,7.18,0.05,0.6964,174658.2,125889.35
600000.SH,20230406,7.21,7.22,7.18,7.18,7.21,-0.03,-0.4161,147402.91,106072.546
600000.SH,20230404,7.19,7.22,7.16,7.21,7.19,0.02,0.2782,257181.97,184997.55
600000.SH,20230403,7.19,7.21,7.16,7.19,7.19,0.0,0.0,202465.96,145394.356
600000.SH,20230331,7.19,7.24,7.17,7.19,7.19,0.0,0.0,200489.25,144423.998
600000.SH,20230330,7.18,7.21,7.12,7.19,7.16,0.03,0.419,225047.56,161359.032
600000.SH,20230329,7.23,7.23,7.16,7.16,7.18,-0.02,-0.2786,126858.06,91087.594
600000.SH,20230328,7.16,7.19,7.14,7.18,7.15,0.03,0.4196,166412.9,119293.209
600000.SH,20230327,7.23,7.23,7.15,7.15,7.21,-0.06,-0.8322,191413.97,137294.386
600000.SH,20230324,7.19,7.25,7.18,7.21,7.21,0.0,0.0,256878.26,185477.856
600000.SH,20230323,7.15,7.22,7.14,7.21,7.18,0.03,0.4178,215062.96,154656.983
600000.SH,20230322,7.15,7.19,7.14,7.18,7.13,0.05,0.7013,169883.75,121799.289
600000.SH,20230321,7.16,7.2,7.13,7.13,7.13,0.0,0.0,189776.75,135798.122
600000.SH,20230320,7.1,7.22,7.1,7.13,7.11,0.02,0.2813,262921.54,188546.316
600000.SH,20230317,7.14,7.22,7.1,7.11,7.12,-0.01,-0.1404,363281.42,260022.748
600000.SH,20230316,7.08,7.17,7.05,7.12,7.08,0.04,0.565,285013.14,203051.784
600000.SH,20230315,7.07,7.1,7.06,7.08,7.02,0.06,0.8547,250729.76,177677.435
600000.SH,20230314,7.06,7.07,7.0,7.02,7.06,-0.04,-0.5666,324533.88,228164.818
600000.SH,20230313,7.05,7.09,7.03,7.06,7.15,-0.09,-1.2587,513149.97,362230.49
600000.SH,20230310,7.24,7.26,7.15,7.15,7.27,-0.12,-1.6506,278438.26,200486.042
600000.SH,20230309,7.31,7.34,7.25,7.27,7.31,-0.04,-0.5472,189933.44,138470.615
600000.SH,20230308,7.3,7.32,7.25,7.31,7.31,0.0,0.0,190590.38,138757.482
600000.SH,20230307,7.32,7.46,7.3,7.31,7.33,-0.02,-0.2729,566427.81,417960.791
600000.SH,20230306,7.35,7.37,7.31,7.33,7.35,-0.02,-0.2721,249399.5,182971.731
600000.SH,20230303,7.29,7.36,7.26,7.35,7.27,0.08,1.1004,310941.68,227583.048
600000.SH,20230302,7.23,7.29,7.23,7.27,7.26,0.01,0.1377,170700.02,124094.305
600000.SH,20230301,7.17,7.27,7.17,7.26,7.18,0.08,1.1142,256613.25,185861.462
600000.SH,20230228,7.18,7.2,7.14,7.18,7.16,0.02,0.2793,174481.0,125100.408
600000.SH,20230227,7.16,7.2,7.16,7.16,7.18,-0.02,-0.2786,158006.39,113363.322
600000.SH,20230224,7.22,7.26,7.18,7.18,7.23,-0.05,-0.6916,166811.14,120124.648
600000.SH,20230223,7.25,7.28,7.23,7.23,7.24,-0.01,-0.1381,114365.36,82898.812
600000.SH,20230222,7.28,7.29,7.24,7.24,7.29,-0.05,-0.6859,129713.92,94204.601
600000.SH,20230221,7.26,7.3,7.23,7.29,7.26,0.03,0.4132,162344.46,118094.161
600000.SH,20230220,7.16,7.27,7.15,7.26,7.13,0.13,1.8233,256135.04,184902.604
600000.SH,20230217,7.19,7.22,7.13,7.13,7.19,-0.06,-0.8345,211489.14,151882.567
600000.SH,20230216,7.21,7.26,7.18,7.19,7.2,-0.01,-0.1389,187983.53,135881.169
600000.SH,20230215,7.24,7.25,7.19,7.2,7.24,-0.04,-0.5525,154676.93,111509.088
600000.SH,20230214,7.24,7.26,7.23,7.24,7.23,0.01,0.1383,119298.53,86373.39
600000.SH,20230213,7.22,7.26,7.18,7.23,7.24,-0.01,-0.1381,204497.79,147742.689
600000.SH,20230210,7.25,7.27,7.22,7.24,7.26,-0.02,-0.2755,119441.06,86527.412
600000.SH,20230209,7.23,7.28,7.22,7.26,7.23,0.03,0.4149,108959.65,79099.151
600000.SH,20230208,7.24,7.27,7.22,7.23,7.24,-0.01,-0.1381,130950.25,94770.357
600000.SH,20230207,7.27,7.27,7.22,7.24,7.25,-0.01,-0.1379,154818.21,112169.271
600000.SH,20230206,7.25,7.25,7.21,7.25,7.27,-0.02,-0.2751,227867.8,164745.21
600000.SH,20230203,7.33,7.35,7.27,7.27,7.36,-0.09,-1.2228,298855.27,217904.608
600000.SH,20230202,7.39,7.39,7.32,7.36,7.36,0.0,0.0,219001.91,160961.795
600000.SH,20230201,7.4,7.4,7.33,7.36,7.37,-0.01,-0.1357,186595.42,137294.549
600000.SH,20230131,7.42,7.45,7.37,7.37,7.4,-0.03,-0.4054,284382.2,210715.444
600000.SH,20230130,7.43,7.43,7.37,7.4,7.36,0.04,0.5435,318107.39,235352.03
600000.SH,20230120,7.34,7.36,7.32,7.36,7.33,0.03,0.4093,209869.58,154239.831
600000.SH,20230119,7.31,7.33,7.26,7.33,7.31,0.02,0.2736,167133.52,121983.726
600000.SH,20230118,7.31,7.33,7.27,7.31,7.3,0.01,0.137,244945.51,178868.885
600000.SH,20230117,7.34,7.35,7.27,7.3,7.33,-0.03,-0.4093,242226.13,176749.046
600000.SH,20230116,7.35,7.38,7.28,7.33,7.34,-0.01,-0.1362,368169.41,270170.018
600000.SH,20230113,7.29,7.35,7.27,7.34,7.27,0.07,0.9629,217702.11,159178.132
600000.SH,20230112,7.33,7.34,7.24,7.27,7.3,-0.03,-0.411,168499.08,122554.362
600000.SH,20230111,7.31,7.34,7.27,7.3,7.28,0.02,0.2747,192155.41,140393.996
600000.SH,20230110,7.35,7.35,7.28,7.28,7.34,-0.06,-0.8174,161946.47,118223.822
600000.SH,20230109,7.38,7.38,7.3,7.34,7.34,0.0,0.0,196122.6,143998.211
600000.SH,20230106,7.35,7.38,7.31,7.34,7.35,-0.01,-0.1361,203128.81,149170.538
600000.SH,20230105,7.37,7.38,7.3,7.35,7.31,0.04,0.5472,301621.54,221617.355
600000.SH,20230104,7.27,7.35,7.23,7.31,7.23,0.08,1.1065,309470.81,226321.372
600000.SH,20230103,7.27,7.28,7.17,7.23,7.28,-0.05,-0.6868,258925.21,187094.064
600000.SH,20221230,7.23,7.3,7.22,7.28,7.24,0.04,0.5525,203523.97,147932.731
600000.SH,20221229,7.27,7.29,7.18,7.24,7.3,-0.06,-0.8219,183670.88,132652.083
600000.SH,20221228,7.22,7.3,7.2,7.3,7.22,0.08,1.108,209013.64,152167.734
600000.SH,20221227,7.13,7.29,7.12,7.22,7.1,0.12,1.6901,240651.92,173516.852
600000.SH,20221226,7.19,7.21,7.08,7.1,7.19,-0.09,-1.2517,201385.33,143606.824
600000.SH,20221223,7.19,7.27,7.17,7.19,7.24,-0.05,-0.6906,129584.64,93463.047
600000.SH,20221222,7.28,7.31,7.2,7.24,7.19,0.05,0.6954,186626.41,135509.039
600000.SH,20221221,7.22,7.24,7.13,7.19,7.14,0.05,0.7003,172529.34,124209.181
600000.SH,20221220,7.23,7.28,7.13,7.14,7.24,-0.1,-1.3812,248002.59,178369.74
600000.SH,20221219,7.37,7.37,7.21,7.24,7.35,-0.11,-1.4966,204325.46,148576.218
600000.SH,20221216,7.25,7.35,7.23,7.35,7.24,0.11,1.5193,317046.29,232171.544
600000.SH,20221215,7.28,7.32,7.23,7.24,7.32,-0.08,-1.0929,174717.7,126757.096
600000.SH,20221214,7.37,7.37,7.26,7.32,7.32,0.0,0.0,161806.35,118352.409
600000.SH,20221213,7.27,7.35,7.25,7.32,7.26,0.06,0.8264,182536.26,133464.502
600000.SH,20221212,7.31,7.36,7.23,7.26,7.32,-0.06,-0.8197,267085.5,194644.29
600000.SH,20221209,7.37,7.39,7.3,7.32,7.38,-0.06,-0.813,381923.46,280350.287
600000.SH,20221208,7.32,7.39,7.31,7.38,7.34,0.04,0.545,255517.76,187977.674
600000.SH,20221207,7.35,7.4,7.3,7.34,7.36,-0.02,-0.2717,311765.5,229009.593
600000.SH,20221206,7.32,7.39,7.3,7.36,7.36,0.0,0.0,305503.06,224448.68
600000.SH,20221205,7.28,7.37,7.24,7.36,7.23,0.13,1.7981,473673.57,346640.963
600000.SH,20221202,7.25,7.25,7.17,7.23,7.22,0.01,0.1385,257220.26,185354.138
600000.SH,20221201,7.28,7.34,7.21,7.22,7.22,0.0,0.0,300404.35,217886.967
600000.SH,20221130,7.24,7.3,7.22,7.22,7.27,-0.05,-0.6878,323469.81,234334.306
600000.SH,20221129,7.1,7.3,7.08,7.27,7.07,0.2,2.8289,681712.27,492975.278
600000.SH,20221128,7.1,7.1,6.98,7.07,7.17,-0.1,-1.3947,378731.89,266592.726
600000.SH,20221125,7.04,7.18,7.04,7.17,7.03,0.14,1.9915,430337.99,307087.082
600000.SH,20221124,7.06,7.14,7.03,7.03,7.05,-0.02,-0.2837,215345.31,152263.202
600000.SH,20221123,7.01,7.12,6.99,7.05,7.02,0.03,0.4274,366943.89,259475.308
600000.SH,20221122,6.89,7.04,6.89,7.02,6.88,0.14,2.0349,334245.3,233200.479
600000.SH,20221121,6.9,6.91,6.83,6.88,6.91,-0.03,-0.4342,223749.65,153475.266
600000.SH,20221118,6.99,7.0,6.91,6.91,6.98,-0.07,-1.0029,226629.3,157460.686
600000.SH,20221117,7.02,7.02,6.95,6.98,7.03,-0.05,-0.7112,220268.25,153691.24
600000.SH,20221116,7.03,7.06,7.01,7.03,7.06,-0.03,-0.4249,173981.02,122332.873
600000.SH,20221115,7.01,7.09,7.0,7.06,7.03,0.03,0.4267,252120.63,177876.453
600000.SH,20221114,6.98,7.09,6.96,7.03,6.94,0.09,1.2968,437774.2,308265.881
600000.SH,20221111,6.83,6.98,6.83,6.94,6.78,0.16,2.3599,402370.53,277525.77
600000.SH,20221110,6.75,6.8,6.74,6.78,6.79,-0.01,-0.1473,126010.08,85330.919
600000.SH,20221109,6.77,6.82,6.77,6.79,6.79,0.0,0.0,131274.94,89138.502
600000.SH,20221108,6.83,6.83,6.77,6.79,6.81,-0.02,-0.2937,152828.62,103708.977
600000.SH,20221107,6.75,6.83,6.74,6.81,6.79,0.02,0.2946,162696.23,110507.706
600000.SH,20221104,6.65,6.8,6.64,6.79,6.66,0.13,1.952,326656.77,220460.181
600000.SH,20221103,6.71,6.71,6.64,6.66,6.71,-0.05,-0.7452,212519.11,141624.735
600000.SH,20221102,6.7,6.74,6.66,6.71,6.74,-0.03,-0.4451,240341.16,160891.463
600000.SH,20221101,6.68,6.74,6.65,6.74,6.64,0.1,1.506,270350.74,181314.549
600000.SH,20221031,6.73,6.75,6.63,6.64,6.8,-0.16,-2.3529,322373.73,215102.268
600000.SH,20221028,6.84,6.87,6.75,6.8,6.82,-0.02,-0.2933,282342.95,192577.66
600000.SH,20221027,6.83,6.87,6.81,6.82,6.82,0.0,0.0,212936.52,145765.77
600000.SH,20221026,6.83,6.86,6.8,6.82,6.84,-0.02,-0.2924,203773.11,139135.071
600000.SH,20221025,6.88,6.88,6.8,6.84,6.81,0.03,0.4405,265398.81,181269.047
600000.SH,20221024,6.93,6.94,6.8,6.81,6.92,-0.11,-1.5896,386101.05,265091.388
600000.SH,20221021,6.99,7.02,6.91,6.92,6.97,-0.05,-0.7174,245678.88,170868.903
600000.SH,20221020,6.97,7.0,6.96,6.97,6.97,0.0,0.0,197650.93,137810.613
600000.SH,20221019,7.02,7.04,6.97,6.97,7.02,-0.05,-0.7123,179882.15,125873.058
600000.SH,20221018,7.04,7.06,7.01,7.02,7.02,0.0,0.0,219086.75,154099.28
600000.SH,20221017,7.05,7.05,7.0,7.02,7.03,-0.01,-0.1422,206165.36,144892.076
600000.SH,20221014,7.03,7.07,7.01,7.03,7.0,0.03,0.4286,273427.63,192757.733
600000.SH,20221013,7.03,7.04,6.97,7.0,7.05,-0.05,-0.7092,241072.56,168676.264
600000.SH,20221012,7.01,7.05,6.96,7.05,7.01,0.04,0.5706,203544.88,142570.655
600000.SH,20221011,7.07,7.08,7.0,7.01,7.03,-0.02,-0.2845,186136.47,130804.312
600000.SH,20221010,7.04,7.09,7.01,7.03,7.04,-0.01,-0.142,200282.96,141308.416
600000.SH,20220930,7.02,7.07,6.99,7.04,6.99,0.05,0.7153,215726.91,151907.573
600000.SH,20220929,7.11,7.13,6.95,6.99,7.08,-0.09,-1.2712,370726.47,260386.962
600000.SH,20220928,7.05,7.12,7.02,7.08,7.07,0.01,0.1414,251975.9,178257.967
600000.SH,20220927,7.04,7.09,7.02,7.07,7.06,0.01,0.1416,201281.63,142035.077
600000.SH,20220926,7.12,7.17,7.05,7.06,7.16,-0.1,-1.3966,295034.76,209607.847
600000.SH,20220923,7.12,7.18,7.09,7.16,7.12,0.04,0.5618,218062.62,155805.817
600000.SH,20220922,7.11,7.14,7.08,7.12,7.13,-0.01,-0.1403,195404.04,138786.682
600000.SH,20220921,7.1,7.16,7.08,7.13,7.11,0.02,0.2813,200261.61,142605.616
600000.SH,20220920,7.16,7.18,7.1,7.11,7.16,-0.05,-0.6983,222470.46,158496.62
600000.SH,20220919,7.16,7.2,7.1,7.16,7.14,0.02,0.2801,223880.73,160021.577
600000.SH,20220916,7.3,7.32,7.14,7.14,7.32,-0.18,-2.459,339791.38,245252.584
600000.SH,20220915,7.29,7.37,7.28,7.32,7.28,0.04,0.5495,319403.43,233945.047
600000.SH,20220914,7.29,7.34,7.27,7.28,7.35,-0.07,-0.9524,186490.11,136014.994
600000.SH,20220913,7.28,7.36,7.27,7.35,7.31,0.04,0.5472,237951.4,174338.448
600000.SH,20220909,7.27,7.34,7.24,7.31,7.24,0.07,0.9669,324230.37,236986.665
600000.SH,20220908,7.24,7.27,7.22,7.24,7.22,0.02,0.277,144783.47,104930.853
600000.SH,20220907,7.23,7.26,7.22,7.22,7.26,-0.04,-0.551,165684.7,119766.057
