,ts_code,symbol,name,area,industry,list_date,open,close,change,vol,amount
0,000001.SZ,000001,平安银行,深圳,银行,19910403,12.26,12.55,0.29,1445254.34,1816868.033
1,000002.SZ,000002,万科A,深圳,全国地产,19910129,14.89,15.14,0.22,602194.14,905353.138
2,000004.SZ,000004,ST国华,深圳,软件服务,19910114,10.54,10.5,-0.01,40004.98,42434.094
3,000005.SZ,000005,ST星源,深圳,环境保护,19901210,1.7,1.75,0.04,87911.12,15169.317
4,000006.SZ,000006,深振业A,深圳,区域地产,19920427,4.72,4.84,0.14,170413.59,81993.352
5,000007.SZ,000007,全新好,深圳,其他商业,19920413,5.45,5.45,-0.61,10511.0,5728.495
6,000008.SZ,000008,神州高铁,北京,运输设备,19920507,2.28,2.37,0.09,364488.69,85707.037
7,000009.SZ,000009,中国宝安,深圳,电气设备,19910625,10.53,10.67,0.15,143152.54,152078.599
8,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027,2.42,2.57,0.15,198436.22,50141.529
9,000011.SZ,000011,深物业A,深圳,区域地产,19920330,9.59,9.67,-0.18,55156.01,53182.131
10,000012.SZ,000012,南玻A,深圳,玻璃,19920228,6.52,6.57,0.06,203886.6,133209.168
11,000014.SZ,000014,沙河股份,深圳,全国地产,19920602,9.71,9.71,0.88,68031.0,66058.101
12,000016.SZ,000016,深康佳A,深圳,家用电器,19920327,4.67,4.74,0.06,93619.87,44059.353
13,000017.SZ,000017,深中华A,深圳,服饰,19920331,4.15,4.26,0.16,44317.0,18809.306
14,000019.SZ,000019,深粮控股,深圳,农业综合,19921012,7.47,7.59,0.15,41093.4,31012.707
15,000020.SZ,000020,深华发A,深圳,元器件,19920428,9.43,9.71,0.28,11470.0,11062.24
16,000021.SZ,000021,深科技,深圳,元器件,19940202,,,,,
17,000023.SZ,000023,深天地A,深圳,水泥,19930429,8.0,8.68,0.14,30061.0,25938.143
18,000025.SZ,000025,特力A,深圳,汽车服务,19930621,16.98,17.16,0.1,35061.06,60014.434
19,000026.SZ,000026,飞亚达,深圳,服饰,19930603,11.6,11.76,0.14,58711.0,68828.348
20,000027.SZ,000027,深圳能源,深圳,火力发电,19930903,6.32,6.42,0.09,229865.44,146459.535
21,000028.SZ,000028,国药一致,深圳,医药商业,19930809,64.65,65.0,0.26,87623.48,553074.669
22,000029.SZ,000029,深深房A,深圳,区域地产,19930915,10.73,10.85,0.12,19350.0,20898.081
23,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,4.68,4.66,0.0,84808.8,39372.053
24,000031.SZ,000031,大悦城,深圳,全国地产,19931008,3.58,3.66,0.09,184399.1,67330.17
25,000032.SZ,000032,深桑达A,深圳,建筑工程,19931028,30.6,31.6,0.9,242162.18,756037.85
26,000034.SZ,000034,神州数码,深圳,软件服务,19940509,25.3,26.66,1.16,253255.9,666671.284
27,000035.SZ,000035,中国天楹,江苏,环境保护,19940408,4.6,4.63,0.07,135731.12,62212.65
28,000036.SZ,000036,华联控股,深圳,全国地产,19940617,4.15,4.24,0.07,115776.45,48697.484
29,000037.SZ,000037,深南电A,深圳,火力发电,19940701,7.23,7.39,0.13,21004.76,15392.005
30,000038.SZ,000038,*ST大通,深圳,综合类,19940808,3.26,3.43,0.16,61415.8,20852.694
31,000039.SZ,000039,中集集团,深圳,运输设备,19940408,6.99,7.01,0.01,128153.66,89901.124
32,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808,4.16,4.15,0.06,330790.04,137530.196
33,000042.SZ,000042,中洲控股,深圳,全国地产,19940921,7.95,8.26,0.45,55261.69,45135.004
34,000045.SZ,000045,深纺织A,深圳,元器件,19940815,9.65,10.03,0.34,56605.0,55999.194
